OBJECTID_1;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
1054;1;0;54;76;2018;3;4;1;2;8;1;2;0;0;0;0;0;1;1;495398.9301;6069485.8669;8.928476903;54.772568262
1055;1;0;53;14;2018;2;0;4;3;8;1;2;0;1;0;0;0;0;2;607894.9197;5941026.7609;10.630747888;53.606936197
1056;1;0;57;16;2018;3;14;4;2;3;6;0;0;1;0;0;0;0;0;584359.0019;6021772.5601;10.297481547;54.336810988
1057;1;0;59;53;2018;3;6;1;2;0;1;0;0;1;0;0;0;0;0;534471.3843;6029520.7351;9.531147085;54.412253786
1058;1;0;51;58;2018;3;13;7;3;8;1;0;0;1;0;0;0;0;2;498359.3955;6017987.5966;8.974783957;54.309766311
1059;1;0;3;0;2018;3;14;3;3;5;3;0;1;0;0;0;0;1;0;610698.0235;5968292.4695;10.682851582;53.85131943
1060;1;0;3;0;2018;2;8;4;3;5;2;0;1;1;0;0;0;0;0;612668.7974;5969725.1009;10.713322849;53.863766563
1061;1;0;2;0;2018;3;11;5;3;2;6;0;0;1;0;0;0;0;0;574085.09;6018555.842;10.138702209;54.309501977
1062;1;0;2;0;2018;2;14;2;3;6;4;0;0;1;1;0;0;0;2;572253.7392;6019640.6956;10.110822473;54.31951258
1063;1;0;2;0;2018;3;17;6;3;5;3;0;1;1;0;0;0;0;0;575491.3467;6027137.0398;10.162486052;54.386402808
1064;1;0;3;0;2018;2;14;4;3;5;2;0;1;1;0;0;0;0;0;610143.1745;5969933.9282;10.675009664;53.866184732
1065;1;0;51;74;2018;3;10;7;3;2;6;0;0;1;0;0;0;0;0;504289.9556;5994130.6025;9.065595974;54.095333641
1066;1;0;3;0;2018;2;23;4;3;5;3;2;0;1;0;0;0;0;0;609773.763;5971361.439;10.669905403;53.879088157
1067;1;0;2;0;2018;3;18;5;3;5;3;0;1;1;0;0;0;0;1;574121.183;6027845.152;10.14156829;54.392966841
1068;1;0;55;35;2018;3;15;3;3;5;3;0;1;1;0;0;0;0;0;611895.3712;5983312.5786;10.706540442;53.986004455
1069;1;0;62;27;2018;3;20;5;3;2;6;2;0;1;0;0;0;0;1;588543.3953;5952885.382;10.341742894;53.717124912
1070;1;0;58;37;2018;2;8;4;3;2;6;0;0;1;0;0;0;1;0;573721.5829;6031976.2414;10.136441409;54.430144892
1071;1;0;53;71;2018;3;15;5;3;8;1;0;0;1;0;0;0;0;2;597278.8347;5923870.9546;10.465023948;53.454858229
1072;1;0;62;1;2018;3;7;6;3;7;7;0;1;0;0;0;0;0;0;582630.2626;5946801.2708;10.250541174;53.663421383
1073;1;0;58;117;2018;2;11;4;2;0;1;0;1;0;0;0;0;0;1;555707.5003;6001721.7466;9.853149515;54.160556674
1074;1;0;62;45;2018;3;22;1;3;9;1;2;0;1;0;0;0;0;0;589328.7754;5944703.1517;10.351284698;53.643466426
1075;1;0;58;161;2018;2;9;4;2;5;2;0;0;1;0;0;0;1;1;527056.6131;5996684.708;9.41393447;54.117595477
1076;1;0;53;32;2018;2;11;3;3;2;2;0;0;1;0;0;0;0;2;591099.363;5922357.426;10.371552795;53.442362101
1077;1;0;59;75;2018;2;15;2;3;5;3;0;0;1;0;0;0;1;0;536370.7212;6041884.0848;9.561931604;54.52322831
1078;1;0;59;183;2018;3;17;4;3;3;6;0;0;1;0;0;0;0;0;525049.444;6065226.7883;9.389018765;54.733689928
1079;1;0;58;53;2018;2;14;4;3;2;6;0;0;1;0;0;0;0;2;570557.6981;6012531.8424;10.083075581;54.255870529
1080;1;0;1;0;2018;3;13;6;3;5;2;0;1;1;0;0;0;0;0;527951.6069;6070394.7274;9.434585263;54.779978785
1081;1;0;54;84;2018;3;8;3;3;2;6;0;0;1;0;0;1;0;1;506287.307;6035886.2309;9.097014352;54.470590975
1082;1;0;60;68;2018;3;7;2;3;1;6;0;0;1;0;0;0;0;0;577005.912;5984188.461;10.174806672;54.000252211
1083;1;0;56;26;2018;3;6;5;3;8;1;2;0;1;0;0;0;0;2;554519.9632;5958333.7299;9.827207266;53.77075504
1084;1;0;59;98;2018;3;10;5;3;8;1;0;0;1;0;0;0;0;2;538881.7004;6047513.8979;9.601468007;54.573634736
1085;1;0;56;41;2018;3;14;7;3;4;6;0;0;1;0;0;0;0;1;563481.864;5954935.6232;9.962464132;53.739201034
1086;1;0;4;0;2018;2;21;4;3;0;7;2;1;0;0;0;0;0;1;564445.3913;5992239.3739;9.984925732;54.074321929
1087;1;0;61;29;2018;3;13;3;2;0;7;0;1;0;0;0;0;0;2;528120.8765;5959793.1759;9.42681666;53.785966946
1088;1;0;3;0;2018;3;14;7;3;2;6;0;0;1;0;0;0;0;1;609310.1909;5970261.8452;10.662464752;53.869306928
1089;1;0;60;5;2018;3;13;7;3;2;6;0;0;1;0;0;0;0;0;585940.7778;5976962.177;10.3090436;53.933910313
1090;1;0;2;0;2018;3;6;3;3;2;6;0;0;1;0;0;0;0;0;573286.0477;6017203.7551;10.126091735;54.297467783
1091;1;0;2;0;2018;2;9;4;3;4;6;0;0;1;0;0;0;0;0;573225.1217;6018494.3029;10.12547208;54.309073028
1092;1;0;56;50;2018;2;7;4;3;0;7;0;1;1;0;0;0;0;0;546875.7303;5938076.0197;9.708174465;53.589428714
1093;1;0;54;119;2018;2;11;2;2;5;2;0;1;1;0;0;0;0;0;510668.7501;6024327.1572;9.164204893;54.366633501
1094;1;0;61;29;2018;3;10;5;3;5;3;0;1;1;0;0;0;0;0;528171.9469;5959549.6063;9.427569521;53.783774983
1095;1;0;2;0;2018;2;14;4;3;4;6;0;0;1;0;0;0;0;1;576394.7474;6017332.5532;10.173881149;54.298169768
1096;1;0;62;82;2018;3;4;7;3;0;7;2;1;0;0;0;0;0;0;591412.9448;5940495.4491;10.381566576;53.605296643
1097;1;0;57;91;2018;2;7;4;3;5;3;0;1;1;0;0;0;0;0;578860.7744;6018668.312;10.212117473;54.309797492
1098;1;0;60;73;2018;3;7;4;2;5;3;0;0;1;0;0;0;1;1;564656.7063;5971628.7174;9.983780464;53.889075455
1099;1;0;59;103;2018;2;19;3;3;9;1;2;0;1;0;0;0;0;2;535951.4397;6065702.4951;9.558378352;54.737303509
1100;1;0;1;0;2018;2;18;2;3;5;2;2;1;1;0;0;0;0;1;528266.542;6071720.461;9.439610851;54.791874822
1101;1;0;53;125;2018;3;6;2;3;2;6;0;0;1;0;0;0;1;1;604613.761;5938536.4597;10.580341358;53.585225936
1102;1;0;54;95;2018;2;11;4;3;2;2;0;0;1;0;0;0;1;0;497448.6639;6021045.3731;8.960759896;54.337244124
1103;1;0;3;0;2018;3;15;5;3;5;3;0;0;1;0;0;0;0;1;612669.4696;5969725.2467;10.713333119;53.863767727
1104;1;0;3;0;2018;3;8;2;3;5;3;0;0;1;0;0;0;0;1;606998.1482;5969255.1708;10.626966353;53.860744258
1105;1;0;57;66;2018;3;16;2;2;5;2;0;0;1;0;0;0;0;0;584658.9632;6015109.476;10.300205253;54.276892579
1106;1;0;53;19;2018;3;6;5;3;4;1;1;0;1;0;0;0;0;1;603440.3427;5916990.97;10.555521469;53.391864757
1107;1;0;1;0;2018;3;22;4;3;8;1;2;0;1;0;0;0;0;2;526176.1077;6072794.4484;9.407197654;54.801639622
1108;1;0;58;86;2018;2;6;3;3;8;1;1;0;1;0;0;0;0;2;543394.5781;6011632.7983;9.666026677;54.250815491
1109;1;0;51;72;2018;3;15;2;3;5;3;0;1;1;0;0;0;0;0;500568.272;5978414.981;9.008659828;53.954101085
1110;1;0;1;0;2018;2;15;4;3;5;3;0;1;1;0;0;0;0;0;530492.6643;6074511.9117;9.474524806;54.816829574
1111;1;0;56;39;2018;3;10;5;3;5;2;0;0;1;0;0;0;1;1;552525.61;5947969.648;9.795191753;53.677813164
1112;1;0;56;48;2018;3;17;2;3;2;2;0;0;1;0;0;0;0;0;548477.46;5951006.855;9.734386982;53.705501684
1113;1;0;62;48;2018;3;12;2;3;5;3;0;0;1;0;0;0;0;0;602944.8393;5973491.1959;10.56678198;53.899623367
1114;1;0;60;81;2018;3;5;5;3;8;1;2;0;1;0;0;0;0;2;596841.6942;5976043.6483;10.474737275;53.923733312
1115;1;0;62;94;2018;3;8;5;3;3;6;0;0;1;0;0;1;0;2;602597.1523;5966155.3584;10.55903924;53.833781382
1116;1;0;56;30;2018;3;16;7;3;3;6;0;0;1;0;0;0;0;1;545836.5299;5960776.3183;9.695832187;53.793544572
1117;1;0;1;0;2018;2;6;4;3;5;2;1;0;1;0;0;0;0;0;530484.1559;6073199.2063;9.474254216;54.805033603
1118;1;0;62;60;2018;3;16;3;3;2;6;0;0;1;0;0;0;0;0;581078.9244;5929979.3064;10.222697095;53.512493932
1119;1;0;59;183;2018;3;12;7;3;8;1;0;0;0;0;0;0;1;2;518470.2694;6062771.8197;9.286689886;54.711912535
