ULAND;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstig;LICHT;STRZUSTAND;XGCSWGS84;YGCSWGS84
2;2017;2;23;5;2;9;1;0;1;0;0;0;2;1;7.666457814;53.66443555
2;2017;2;9;5;3;4;2;0;1;0;0;0;0;1;7.839677004;53.45117593
2;2017;3;7;6;3;5;2;1;1;0;0;0;0;0;8.819038561;53.43461863
2;2017;2;6;5;3;5;3;0;1;0;0;1;2;1;7.281224661;53.51834534
2;2017;3;7;6;3;4;6;0;1;0;0;0;0;2;9.877948932;53.38314406
2;2017;2;15;5;3;2;6;0;1;0;0;0;0;1;7.478950364;53.46679938
2;2017;3;6;6;3;8;7;0;1;0;0;0;0;2;9.972207898;53.29587853
2;2017;2;10;5;3;2;2;0;1;0;0;0;0;1;8.12340591;52.58812425
2;2017;2;14;5;3;5;2;0;1;0;0;0;0;1;8.127857539;53.3483203
2;2017;2;16;5;3;4;2;0;1;0;0;0;0;1;8.707333553;53.18696385
2;2017;2;15;5;3;2;6;0;1;0;0;0;0;1;7.86275762;53.29310483
2;2017;3;7;6;3;8;1;0;1;0;0;0;1;2;9.830194299;53.28648619
2;2017;3;9;6;3;2;6;0;1;0;0;1;0;0;9.593900751;53.49782383
2;2017;3;9;6;3;2;6;0;1;0;0;0;0;0;9.345809654;53.59137818
2;2017;3;9;6;3;2;6;0;1;0;0;1;0;0;9.379059569;53.59428949
2;2017;3;13;6;3;2;6;0;1;0;0;0;0;0;9.692792768;52.67558085
2;2017;3;10;6;3;2;6;0;1;0;0;0;0;0;9.69046263;52.68215121
2;2017;3;8;6;3;9;1;0;1;0;0;0;2;2;9.919400158;52.91230573
2;2017;3;7;6;2;9;1;0;1;0;0;0;0;2;9.792896533;53.00980419
2;2017;2;6;5;3;2;2;0;1;0;0;0;1;1;8.823892186;52.92651446
2;2017;3;7;6;2;4;1;0;1;0;0;0;0;2;9.378771532;53.3475542
2;2017;3;5;6;3;5;3;0;1;0;0;0;2;0;9.28403985;53.28443138
2;2017;3;7;6;3;5;3;0;1;0;0;0;0;1;9.144148082;53.48772637
2;2017;2;8;5;3;4;2;0;1;0;0;1;0;1;8.839305229;52.68068248
2;2017;2;16;5;2;0;7;0;1;0;0;0;0;1;8.638111264;53.04337605
2;2017;2;19;5;3;5;3;1;1;0;0;0;2;1;9.704106411;53.47783799
2;2017;2;18;5;3;8;1;0;1;0;0;0;2;1;9.746261637;53.48523046
2;2017;3;11;6;3;2;2;0;1;0;0;0;0;0;9.23799441;53.07368507
2;2017;2;18;5;3;2;2;0;1;0;0;0;2;1;9.307052368;53.61349041
2;2017;2;11;5;1;8;7;0;1;0;0;0;0;1;9.173108846;53.57250683
2;2017;3;21;6;2;3;6;0;1;0;0;0;2;1;9.22364713;53.14244021
2;2017;2;15;5;2;4;2;1;1;0;0;0;0;1;9.597322702;52.86214219
2;2017;2;16;5;3;2;6;0;1;0;0;0;0;1;9.844813618;52.98685163
2;2017;2;16;5;3;2;6;0;1;0;0;0;0;1;9.578445134;52.98463257
2;2017;3;20;6;3;5;2;1;1;0;0;0;2;1;9.39774112;53.10668498
2;2017;2;17;5;3;8;1;0;0;0;1;0;0;1;9.270742867;53.06551599
2;2017;3;7;6;2;8;1;0;1;0;0;0;0;2;10.53089168;53.13113194
2;2017;2;10;5;3;2;6;0;1;0;0;0;0;1;10.42627599;53.26914604
2;2017;3;7;6;3;9;1;0;1;0;0;0;0;2;10.48931075;53.04496099
2;2017;3;6;6;2;9;1;0;1;0;0;0;0;2;10.49797637;52.95208033
2;2017;3;7;6;3;9;1;0;1;0;0;0;1;2;10.57622881;52.94294846
2;2017;3;6;6;3;9;1;0;1;0;0;0;0;2;10.50357317;52.9907361
2;2017;2;14;5;3;8;1;0;1;0;0;0;0;1;9.467113227;52.33320102
2;2017;3;18;6;3;6;4;0;1;1;0;0;2;0;10.3855088;53.2948892
2;2017;2;20;5;3;5;3;0;1;0;0;0;2;1;9.599888445;52.43514212
2;2017;2;19;5;3;7;7;1;0;0;0;0;2;1;9.72868923;52.54022106
2;2017;2;18;5;3;8;1;0;1;0;0;0;2;1;9.664423362;52.47540699
2;2017;3;13;6;3;5;3;0;1;0;0;1;0;0;10.52844402;53.28932948
2;2017;3;19;6;3;4;6;0;1;0;0;0;2;0;9.961436059;52.8108173
2;2017;2;23;5;3;9;1;0;1;0;0;0;2;1;9.83073856;52.29875647
2;2017;2;16;5;3;4;7;0;1;1;0;1;0;1;10.11425714;52.34727847
2;2017;2;9;5;2;5;3;0;1;0;0;0;0;1;9.728155523;52.57836107
2;2017;2;6;5;3;2;6;0;1;0;0;1;1;1;9.638179912;52.41633635
2;2017;2;8;5;3;2;6;0;1;0;0;0;0;1;9.444447435;52.36809603
2;2017;2;18;5;3;3;2;0;1;0;0;1;1;1;10.33658913;51.65075371
2;2017;2;7;5;3;9;7;0;1;0;0;0;2;1;10.21294202;51.77494106
2;2017;2;13;5;3;2;2;0;1;0;0;0;0;1;9.126418615;52.29596101
2;2017;3;10;6;3;5;3;0;1;0;0;0;0;0;9.733295188;52.48216463
2;2017;2;11;5;3;8;1;0;1;0;0;0;0;1;9.432129206;52.21463081
2;2017;3;15;6;3;2;2;0;1;0;0;0;0;0;9.734396505;52.47499436
2;2017;2;7;5;3;3;6;0;1;0;0;1;2;1;9.353261675;52.10144811
2;2017;3;13;6;3;5;3;1;1;0;0;0;0;0;9.858262137;52.38738925
2;2017;3;8;6;2;5;3;1;1;0;0;0;0;0;9.827064826;52.34289767
2;2017;3;7;6;3;5;3;0;1;0;0;1;0;1;9.632320748;52.41129154
2;2017;3;10;6;3;2;6;0;1;0;0;0;0;0;9.76442024;52.58448768
2;2017;3;7;6;3;3;1;0;1;0;0;0;0;1;9.874227156;52.42480701
2;2017;3;13;6;3;2;6;0;1;0;0;0;0;0;9.421230453;52.34574265
2;2017;3;6;6;2;4;1;0;1;0;0;1;1;2;10.14938526;51.69632542
2;2017;3;6;6;3;9;1;0;1;0;0;0;1;2;10.30329112;51.68703695
2;2017;3;13;6;3;5;3;0;1;0;0;0;0;0;9.871354414;51.80445039
2;2017;2;23;5;3;8;1;0;0;0;1;0;2;1;9.739497114;51.54580443
2;2017;3;16;6;3;3;6;0;1;0;0;1;0;0;10.12874637;51.88048168
2;2017;2;15;5;3;5;3;0;1;0;0;0;0;1;9.910971249;51.58366062
2;2017;3;13;6;3;5;3;0;1;0;0;0;0;0;9.232347235;51.98649545
2;2017;2;7;5;3;2;6;0;1;0;0;0;0;1;9.640705084;51.36989128
2;2017;3;23;6;3;5;2;0;1;0;0;0;2;0;9.355902186;52.1071172
2;2017;2;8;5;3;4;2;0;1;0;0;0;1;1;9.939715166;51.51397326
2;2017;2;13;5;2;4;6;0;1;0;0;0;0;1;10.96415932;52.15831992
2;2017;2;17;5;2;5;2;1;1;0;0;0;0;0;10.54008757;52.16163951
2;2017;3;7;6;3;0;1;0;0;0;1;0;0;1;9.380984306;52.15276379
2;2017;2;6;5;3;2;6;0;1;0;0;1;1;1;10.2319104;52.29608272
2;2017;3;8;6;3;2;6;0;1;0;0;0;0;1;9.755849188;51.39646321
2;2017;2;8;5;3;3;6;0;1;0;0;0;0;1;10.42808382;52.17856851
2;2017;2;10;5;3;2;6;0;1;0;0;0;0;1;10.53213391;52.38623026
2;2017;3;16;6;3;5;2;0;1;0;0;1;0;0;9.933816302;51.53835503
2;2017;2;14;4;3;9;1;0;1;0;0;0;0;1;8.453575423;52.19874576
2;2017;3;14;6;3;2;6;0;1;0;0;0;0;0;9.888440813;51.5551829
2;2017;2;8;4;3;6;6;0;1;1;0;0;0;1;7.972287811;52.34566811
2;2017;3;6;6;3;9;1;0;0;0;0;1;0;2;11.04535579;52.24867131
2;2017;2;8;4;3;9;1;0;1;0;0;1;0;1;7.553379084;53.30017912
2;2017;3;7;6;3;0;1;0;0;0;1;0;0;1;10.26367349;52.08069641
2;2017;2;7;4;3;8;1;0;1;0;0;0;2;1;7.531187109;53.20137709
